cusId,resId,revId
yzCCLY4lJjiufFWwWWEdsw,-lnhh4fxYISfdi180WNOKg,YUWWGmkTeE_TSkDGWXftVw
kDJnpUq3qOsOLT34MOyy-A,-lnUAEGykzxdll2hVrEspA,-VfvONd4YoJ87M_yNJjbOA
EPfYqoYLIfIETvAzW8bRvw,-lnUAEGykzxdll2hVrEspA,zaz7LZ_2TXjbViLNi_1MBA
AhK3GAcEvHgp5kJRezG2LQ,-LrtMHnJGB1qniKfnZeMWw,qiTNuMNbL-KPmZ59J6Pr7w
BbCFA42884twv2XecZtmaA,-LrtMHnJGB1qniKfnZeMWw,4IqiIMAeNK7BzhfW1iQHMg
gGdTUSloidKbQUjCbvb6fA,-LrtMHnJGB1qniKfnZeMWw,P3Fpt6Rydoe4oZR4-4jvQQ
BRR00kMVdGo3uN_-PgyVqg,-m8A_or_PqGanBQhXFa6Ng,zndnqaC3SvDFq0_ntbo2ig
wLrm7WtdfgeGIKegAQwNWA,-m8A_or_PqGanBQhXFa6Ng,FSO46sAA1QxA5tzP8d1uIw
cDhR7ogh0cC50XGWAeOtYw,-m8A_or_PqGanBQhXFa6Ng,ukUWHtZcp19eS1J-PWkXBA
qMNbiyUBE0eNqYPnp8hgfA,-mw8SVXadJTmZ0KLvMoiIA,6o-0PsVHZyWjSVnZxgWEMg
eX6LdLGh2dTVfEba9tB_uQ,-NcMLmD31n3h5BbqXPN7bA,2RcRx4XkHB7C5Eo7ykdEwA
cqvBEp3xbGVbFKkL0LiAVg,-NcMLmD31n3h5BbqXPN7bA,4SwZpi7ZKMsA7tbG4KrpAQ
r5SJ2xEbjcfOIIdXwQJKHg,-NcMLmD31n3h5BbqXPN7bA,iS-Pes90bB2u2FaDv99GkQ
CTVAYgN3xdmKvVo5Cw-7Ng,-NNWiHuhlRVSn14LkYmlgQ,wrf32QHRAHpiuf3bbQN83A
P56YqX0c7gpIUkCIX9ORLw,-NNWiHuhlRVSn14LkYmlgQ,RsAlTpdXbx7zMVP4iMgGFQ
VM5AVrfMDPRBTHMGqfEJ8g,-NNWiHuhlRVSn14LkYmlgQ,LswFKD-B_LEsUjhNPAuo6g
uMp8IY7vxi_9UntjYRIMOA,-NVpjIM1b0_4PbdX1d4wXw,Qod5A2OJnft9s75awvZG8Q
-NfLsKaGvtUdb50JHiwV4w,-NVpjIM1b0_4PbdX1d4wXw,r1SBNwJ7aTZSHmQ0ONBaeA
80aW88LutBnkQ_0hyIBmjw,-NVpjIM1b0_4PbdX1d4wXw,ehpR8g6cegY1G8Ya6NSC9Q
li0V1cHopW7O5F-DPnuZ-w,-O-K5I_9TVQCbgH05x9MiA,LPuUlcFTgP-gksQjdDPlTA
V5bNplrOp3mXkUL-LCIyTg,-O-K5I_9TVQCbgH05x9MiA,Bk6LLST6AGv_YKbH6ES9RQ
e0M-nd9S8O5MclYDP-dyBg,-O-K5I_9TVQCbgH05x9MiA,qLSA87HTR5cxXFae3o-Kog
0eMHwMLptoOktuVUOYCdQw,-oihRrt7WDnghqnIlSCoLA,CAJXwRUCoEpuIBFXDOiyHA
IzBuJeWtY29CleiGYRDQUg,-oihRrt7WDnghqnIlSCoLA,HV_0dxr4VZJzGogdceBqew
1OuAGKZ1DNQ_8CbxQdv1ug,-oihRrt7WDnghqnIlSCoLA,_xjzYjdhrSGPDDB4wJI6oA
0_2MZysLyVyZ8EiaxZuXaQ,-PvAAm39kAb1OZevCdBW3w,xWtix4U62XeUT4UcACSfCA
K5tM9NnRXCTF5mCZqSR3LQ,-q6IwRHCsSwc8q2QC-ZFVQ,QkIV2dWqe7Fvm3yxCEkgWA
mBdTXfvs3Ohv5y6hIp1IKA,-q6IwRHCsSwc8q2QC-ZFVQ,3x5WLSJi2QYhrsPZUD5LCQ
rrCeghCq7p-T9zroPtTQmA,-q6IwRHCsSwc8q2QC-ZFVQ,A8nzETO3vO1oeShyWpz_Gw
G5PHwcrMNsnLij3TPMrWbA,-QPHt-Fcw92_qC-zMyaT5w,cA9tRTJwSLNSaBToYGR6RA
xJlKpZsBNXxpcpDhCeWnrQ,-QPHt-Fcw92_qC-zMyaT5w,axGqYTHH9wCrvtnLPDt-fQ
Nv4jkeTeRaOsAlmPKywu6Q,-QPHt-Fcw92_qC-zMyaT5w,OQNOi8EYliNiMhoBhe_i0Q
NoHJb7x8IEakUJTx6_vGTA,-QvEB4PhS7n3hCBgVpnZrA,PikwvCI0XF7tqTM3jVyk5A
eSZl00eXdcoZsxoKrxPm_w,-QvEB4PhS7n3hCBgVpnZrA,f5q1wT0lZP6FggEYJD9WEg
K1blQe2J4XRmFvGJM5NViA,-QvEB4PhS7n3hCBgVpnZrA,EGop4GzBllzSlaubt-RedQ
vf---pzT0AygrWzHrLUuSQ,-rDr-IggfcIXDUIf3V_8dg,NoAgTzXaGVHHbfDbN8FFYg
SrZ1jZDdEpJ_2mRGverCEQ,-rDr-IggfcIXDUIf3V_8dg,f8O3Bo_VY2PXbKzqXl19pA
bGjvPlHfLhLUsObIwC6Nbg,-rDr-IggfcIXDUIf3V_8dg,6K_IqwbeGz1mSSjAZ5ZPQQ
FLCBwWtKqfP-pvJWn-GMFA,-RzAwJuI2PccJ20lDBwdlw,t3qeF0e9w4prAWiZjLsWGw
bgdFMsxMlOrUIvjRnLJPlw,-RzAwJuI2PccJ20lDBwdlw,6d7yjhN7_Fddt70AZft1YQ
yKtUtAi1vVm0qXx2qLkBCQ,-RzAwJuI2PccJ20lDBwdlw,9IdLaOUKq6LzJhcsJ7jndw
